"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","ubiquitin-ubiquitin ligase activity","GO:0034450","0.07853058015085526","1.1049611941510846","3","305","1","39530","LOC111135880"
"GO:MF","phosphotransferase activity, alcohol group as acceptor","GO:0016773","0.07894877467361848","1.102654606081471","525","18","2","39530","LOC111136710,LOC111103474"
"GO:MF","transcription coregulator activity","GO:0003712","0.07919589336684399","1.1012973377837219","78","311","3","39530","LOC111119610,LOC111132160,LOC111135492"
"GO:MF","deubiquitinase activity","GO:0101005","0.0798109232260269","1.0979376653893784","72","132","2","39530","LOC111118433,LOC111126744"
"GO:MF","ubiquitin-like protein peptidase activity","GO:0019783","0.08498726010329587","1.0706461717153102","75","132","2","39530","LOC111118433,LOC111126744"
"GO:MF","sugar-phosphatase activity","GO:0050308","0.08819269244158677","1.0545673985844322","3","371","1","39530","LOC111101224"
"GO:MF","acyltransferase activity","GO:0016746","0.08819269244158677","1.0545673985844322","204","127","3","39530","LOC111124769,LOC111127355,LOC111126181"
"GO:MF","carbohydrate phosphatase activity","GO:0019203","0.08819269244158677","1.0545673985844322","3","371","1","39530","LOC111101224"
"GO:MF","kinase activity","GO:0016301","0.08819269244158677","1.0545673985844322","588","18","2","39530","LOC111136710,LOC111103474"
"GO:MF","FAD binding","GO:0071949","0.08819269244158677","1.0545673985844322","40","262","2","39530","LOC111136234,LOC111136235"
"GO:MF","adenylyltransferase activity","GO:0070566","0.09107156048736349","1.0406172218380714","12","101","1","39530","LOC111119950"
"GO:MF","phospholipase C activity","GO:0004629","0.09862162280895025","1.0060278554737745","6","224","1","39530","LOC111132178"
"GO:MF","phosphatidylinositol phospholipase C activity","GO:0004435","0.09862162280895025","1.0060278554737745","6","224","1","39530","LOC111132178"
"GO:BP","cell-matrix adhesion","GO:0007160","0.007471118981356661","2.12661434717603","78","94","4","39530","LOC111120417,LOC111120674,LOC111121579,LOC111121344"
"GO:BP","cell-substrate adhesion","GO:0031589","0.007471118981356661","2.12661434717603","79","94","4","39530","LOC111120417,LOC111120674,LOC111121579,LOC111121344"
"GO:BP","chaperone-mediated protein folding","GO:0061077","0.007471118981356661","2.12661434717603","2","1","1","39530","LOC111108931"
"GO:BP","cellular biosynthetic process","GO:0044249","0.011121088079391108","1.9538527196102697","1758","207","22","39530","LOC111110464,LOC111122333,LOC111119758,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111136051,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718"
"GO:BP","biosynthetic process","GO:0009058","0.011121088079391108","1.9538527196102697","1852","207","23","39530","LOC111110464,LOC111122333,LOC111119758,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111136051,LOC111135147,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718"
"GO:BP","macromolecule biosynthetic process","GO:0009059","0.011121088079391108","1.9538527196102697","1287","240","20","39530","LOC111122333,LOC111119758,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111124727,LOC111124726,LOC111124731,LOC111125017,LOC111124498,LOC111127463,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","organic substance biosynthetic process","GO:1901576","0.014876227752291705","1.8275071812940837","1815","207","22","39530","LOC111110464,LOC111122333,LOC111119758,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111136051,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718"
"GO:BP","transcription initiation at RNA polymerase III promoter","GO:0006384","0.020115773532629166","1.6964632623970601","9","127","2","39530","LOC111127355,LOC111126181"
"GO:BP","cell adhesion","GO:0007155","0.024182832492310628","1.6164928323530006","277","107","5","39530","LOC111120417,LOC111120674,LOC111121579,LOC111121344,LOC111125408"
"GO:BP","peptidyl-proline modification","GO:0018208","0.024182832492310628","1.6164928323530006","25","1","1","39530","LOC111108931"
"GO:BP","thymine metabolic process","GO:0019859","0.024182832492310628","1.6164928323530006","1","41","1","39530","LOC111119483"
"GO:BP","uracil metabolic process","GO:0019860","0.024182832492310628","1.6164928323530006","1","41","1","39530","LOC111119483"
"GO:BP","cellular metabolic process","GO:0044237","0.024182832492310628","1.6164928323530006","4253","325","54","39530","LOC111131721,LOC111136710,LOC111103474,LOC111110464,LOC111122333,LOC111119483,LOC111120401,LOC111119756,LOC111119760,LOC111119758,LOC111119651,LOC111118136,LOC111119745,LOC111119950,LOC111125599,LOC111127354,LOC111127355,LOC111126181,LOC111126182,LOC111126744,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111124498,LOC111127463,LOC111124500,LOC111136051,LOC111136760,LOC111135147,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132178,LOC111132186,LOC111134949,LOC111136551,LOC111135254,LOC111136234,LOC111136235,LOC111137105,LOC111137330,LOC111134446,LOC111136420,LOC111136727,LOC111135880,LOC111132341,LOC111135492,LOC111102071,LOC111101249"
"GO:BP","thymine catabolic process","GO:0006210","0.024182832492310628","1.6164928323530006","1","41","1","39530","LOC111119483"
"GO:BP","cellular nitrogen compound biosynthetic process","GO:0044271","0.024182832492310628","1.6164928323530006","1398","240","19","39530","LOC111110464,LOC111119651,LOC111119745,LOC111127354,LOC111127355,LOC111126181,LOC111124727,LOC111124445,LOC111124726,LOC111124731,LOC111125017,LOC111126361,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:BP","uracil catabolic process","GO:0006212","0.024182832492310628","1.6164928323530006","1","41","1","39530","LOC111119483"
"GO:BP","pyrimidine nucleobase catabolic process","GO:0006208","0.024182832492310628","1.6164928323530006","1","41","1","39530","LOC111119483"
"GO:BP","protein peptidyl-prolyl isomerization","GO:0000413","0.024182832492310628","1.6164928323530006","25","1","1","39530","LOC111108931"
