baseMean,neglogpvalue
MSTRG.37002|LOC111106954,-0.0108333712872701
MSTRG.21737|LOC111135544,-0.904814966698595
MSTRG.38779|LOC111111143,0.191175768690926
MSTRG.18311,0.00903577117663755
MSTRG.32083|LOC111103558,0.00107689534217597
MSTRG.34687,0.222165258531849
MSTRG.44225,0.0753338441336828
MSTRG.6774|LOC111120072,0.0549787744040032
MSTRG.25862|LOC111138511,6.84160556595243
MSTRG.20438,0.000134606964981674
gene27862|LOC111105102,0.395205983477005
MSTRG.5919,-6.31179886281144
MSTRG.459|LOC111125589,-0.625669331732222
MSTRG.43179,165.080443232576
MSTRG.43178,0.00348912122917274
MSTRG.43947,0.998386164873884
MSTRG.19849,-0.0103322996257464
MSTRG.43175,-0.00665270507664227
MSTRG.19847,-1.85843099027654
MSTRG.43176,-0.268600301408788
MSTRG.5816,0.310275070514303
MSTRG.43170,0.00997676043631271
MSTRG.19840,0.0710329444397866
MSTRG.43172,1.69096109634499
MSTRG.15171,-2.4262360219417
MSTRG.32270,0.976807376487215
MSTRG.15177,-0.395408430819939
MSTRG.15174,-0.751031844921392
MSTRG.15175,-0.342130014924039
MSTRG.15179,-0.0560311162707805
MSTRG.10522,-0.441045567750732
MSTRG.37300,0.833988579881272
MSTRG.10520,-0.00177382534493223
MSTRG.37302,-0.0137707124104167
MSTRG.37305,-0.310990838697575
MSTRG.10527,0.531474269434775
MSTRG.37307,0.0312745183003706
MSTRG.37309,0.00566972528615774
MSTRG.37308,0.296948440557717
MSTRG.18315,-0.38583207727946
MSTRG.6651|LOC111120025,0.0827641242874767
MSTRG.5662,-0.815588227270659
MSTRG.5664,-14.3841522439698
MSTRG.5666,-0.577322249673063
MSTRG.5668,2.13469535057938
MSTRG.38307,-0.000860847889131393
MSTRG.38300,0.0433691278141695
MSTRG.38302,-0.071183861305057
MSTRG.17554,-0.676979696747053
MSTRG.38308,-0.523702510766338
MSTRG.3848,-1.22699319223472
MSTRG.43822,1.65523828407584
MSTRG.3847,-1.92728465683163
MSTRG.3845,1.43980695290053
MSTRG.18718,-2.29541513172343
MSTRG.18716,0.000408385147226675
MSTRG.18711,-0.0414197475070169
MSTRG.18712,-3.34862749071242
MSTRG.13698|LOC111126032,-1.08282915107856e-05
MSTRG.38097|LOC111106271,1.6818891823178
MSTRG.9723|LOC111120498,0.251581698049406
MSTRG.4858,-0.116831724012517
MSTRG.16189,0.517147516953258
MSTRG.6313,-0.553122569495034
MSTRG.6312,-0.180713729545426
MSTRG.6315,-0.267619486677349
MSTRG.11393,-0.149303485979731
MSTRG.6319,-0.107232851400868
MSTRG.6318,-1.02367679290717
MSTRG.33375,0.0364303203281085
MSTRG.33376,-1.90098227819596
MSTRG.33372,-2.82056717187711
MSTRG.30937,-0.130213724860882
MSTRG.30935,0.000618862039721677
MSTRG.44250,-1.90119549915281
MSTRG.30931,0.380819298323005
MSTRG.26328,0.124853128882653
MSTRG.44001,-0.0488463164397863
MSTRG.34548|LOC111104343,-3.47897253381972
MSTRG.18840|LOC111129124,-15.8683889543447
MSTRG.24666|LOC111133944,0.231706498773014
MSTRG.4735|LOC111122759,2.45541776382197
MSTRG.18979|LOC111129615,4.77669460052551
MSTRG.15600|LOC111125146,2.66775970658369
MSTRG.43475|LOC111116869,0.0151757421690543
MSTRG.11231|LOC111127402,-2.52722856160331
MSTRG.3409|LOC111121240,-6.05013810602039
MSTRG.17216,0.185756671198879
MSTRG.1537|LOC111122145,0.442919671984313
MSTRG.35438,-0.0017933734287021
MSTRG.32423,0.0113923588843392
MSTRG.35430,-0.0581521647209055
MSTRG.32421,0.607759296959724
MSTRG.35432,-0.451784959347906
MSTRG.32427,0.00718330944171632
MSTRG.35434,0.175280000424334
MSTRG.35437,-0.0571049254844556
MSTRG.21751,0.0566172984095277
MSTRG.23455|LOC111137580,-1.34508172366378
MSTRG.207,-2.00141861415574
MSTRG.202,-0.30196376683922
MSTRG.43828,2.59517518432811
MSTRG.9993,0.00777841146118738
MSTRG.9991,-1.64468115031759e-05
MSTRG.9996,-0.679671994712817
MSTRG.7720|LOC111121625,0.230735055008659
MSTRG.9995,-0.021447228323019
MSTRG.9998,-0.267125603423526
MSTRG.9999,-0.461043967936378
MSTRG.27546|LOC111137155,-1.96114636439241
MSTRG.6611|LOC111121469,0.121851663907076
MSTRG.17587,1.76031120672517
MSTRG.13069,4.89078104192798
MSTRG.21101|LOC111134103,-0.106572732478672
MSTRG.2427|LOC111109904,-0.0455073273939972
MSTRG.23346,-0.0281217770088641
MSTRG.34748,5.26959086113952
MSTRG.34749,-0.00674548818753514
MSTRG.12873,-0.0368133852280942
MSTRG.42478|LOC111111726,-57.824193798939
MSTRG.34740,-1.33256312456357
MSTRG.34741,0.0443751841877856
MSTRG.34742,0.0143045357207192
MSTRG.34745,-1.3934027336346
MSTRG.34747,-0.401064178330307
MSTRG.19846,0.0480903118555109
MSTRG.19845,0.118238559917719
MSTRG.26938,0.187812674025265
MSTRG.26939,0.00353808678553857
MSTRG.26936,0.0496016513024906
MSTRG.26930,-15.4258255242034
MSTRG.26931,-0.744308178646641
MSTRG.26932,-1.37256234440802
MSTRG.26933,-0.0859329203865642
MSTRG.3995|LOC111134492,-0.55773277376283
MSTRG.33860,-0.323968476322812
MSTRG.8739,1.29553432098055
MSTRG.36427,0.836638341880663
MSTRG.36429,-0.890525321227713
MSTRG.36428,1.03104857818489
MSTRG.30119,0.639558748128348
MSTRG.30118,-0.305878526699189
