MSTRG.20114
MSTRG.15137|LOC111125228
MSTRG.9606|LOC111119126
MSTRG.18697
MSTRG.13472|LOC111126235
MSTRG.7741
MSTRG.3386
MSTRG.26623|LOC111138118
MSTRG.5151|LOC111118254
MSTRG.25547
MSTRG.21347|LOC111132915
MSTRG.4795
MSTRG.19337|LOC111130998
MSTRG.12499|LOC111124721
MSTRG.37869|LOC111110682
MSTRG.21761|LOC111138303
MSTRG.40123|LOC111114845
MSTRG.4831
MSTRG.25844
MSTRG.4989|LOC111121747
MSTRG.6262
MSTRG.10129|LOC111121204
MSTRG.24129
MSTRG.37701|LOC111108628
MSTRG.20629
MSTRG.9329|LOC111118205
MSTRG.10223|LOC111121071
MSTRG.8771
MSTRG.41009
MSTRG.21613|LOC111133772
MSTRG.8640|LOC111120294
MSTRG.4464|LOC111102665
MSTRG.24378|LOC111136199
MSTRG.7459|LOC111118439
MSTRG.24022
MSTRG.37344|LOC111108633
MSTRG.31091|LOC111102241
MSTRG.3254
MSTRG.10583
MSTRG.16449|LOC111130590
MSTRG.12855|LOC111125019
MSTRG.4177
MSTRG.4373|LOC111110712
MSTRG.43420|LOC111117311
MSTRG.6400|LOC111119074
MSTRG.40357
MSTRG.15053
MSTRG.32433|LOC111104333
MSTRG.24235|LOC111135738
MSTRG.40002
MSTRG.2918
MSTRG.715|LOC111137818
MSTRG.15590
MSTRG.6675|LOC111119308
MSTRG.20616|LOC111129305
MSTRG.24136|LOC111133939
MSTRG.35763
MSTRG.18020|LOC111129911
MSTRG.41789
MSTRG.31926
MSTRG.11903|LOC111125858
MSTRG.14268|LOC111124752
MSTRG.21737|LOC111135544
MSTRG.5234|LOC111117965
MSTRG.37099|LOC111108268
MSTRG.37163|LOC111107909
MSTRG.24182
MSTRG.11484|LOC111124120
MSTRG.28585
MSTRG.22116
MSTRG.2384|LOC111124318
MSTRG.8865|LOC111118351
MSTRG.361|LOC111111799
MSTRG.39194
MSTRG.35997|LOC111106988
MSTRG.34368
MSTRG.34343
MSTRG.35674
MSTRG.41651
MSTRG.6735
MSTRG.42984
MSTRG.23402|LOC111133607
MSTRG.22944
MSTRG.31354|LOC111101608
MSTRG.40188
MSTRG.27372|LOC111136947
MSTRG.39742
MSTRG.32546|LOC111104539
MSTRG.9579
MSTRG.38614|LOC111105716
MSTRG.11299
MSTRG.36785|LOC111107935
MSTRG.18960
MSTRG.40740
MSTRG.41448
MSTRG.37930|LOC111107411
